model,clip_id,locality,condition,language,transcript,latency_ms,error,wer,locality_exact,locality_fuzzy,locality_fuzzy_score,locality_phonetic,locality_word_level,locality_recovered,matched_substring
deepgram,01_koramangala_quiet_hinglish,Koramangala,quiet,hinglish,हाँ भैया गोरमंगला में रहती हूँ fifth block में,4028.762400150299,,0.8888888888888888,False,True,81.81818181818181,True,True,True,partial_ratio
deepgram,02_indiranagar_quiet_hindi,Indiranagar,quiet,hindi,मेरा घर इंद्रानगर में है metro station के पास.,2700.7352001965046,,0.4444444444444444,False,True,81.81818181818181,False,True,True,partial_ratio
deepgram,03_hsrlayout_quiet_english,HSR Layout,quiet,english,Yes so I stay in H S R Layout Sector 2,2727.1523997187614,,0.4444444444444444,True,True,100.0,True,True,True,partial_ratio_nospace
deepgram,04_hebbal_quiet_hinglish,Hebbal,quiet,hinglish,Job के लिए हिब्बाल से आना पड़ेगा. Traffic कैसा है?,2899.1954997181892,,0.4,False,True,83.33333333333334,True,True,True,partial_ratio
deepgram,05_byatarayanapura_quiet_hindi,Byatarayanapura,quiet,hindi,"Sir, मेरा address ब्याता रहना पूरा है, पास में bus stand है.",3425.546900369227,,0.5,False,True,93.33333333333333,True,True,True,partial_ratio_nospace
deepgram,06_whitefield_traffic_english,Whitefield,traffic,english,"I work in Whitefield, near the IPTL Main Road.",3473.86210039258,,0.1111111111111111,True,True,100.0,True,True,True,partial_ratio
deepgram,07_marathahalli_traffic_hinglish,Marathahalli,traffic,hinglish,"हां, मारा खली bridge के नीचे उतर जाना, वहां से auto मिल जाएगा.",3711.707300506532,,0.75,False,False,66.66666666666667,False,True,True,partial_ratio
deepgram,08_electroniccity_traffic_hindi,Electronic City,traffic,hindi,मैं इलेक्ट्रोनिक city phase 1 में रहती हूँ इन पोसिस के पीछे.,2883.761699311435,,0.7272727272727273,False,True,85.5,False,True,True,WRatio
deepgram,09_silkboard_traffic_hinglish,Silk Board,traffic,hinglish,Silk road signal पे फंसाओ यार 20 minute से.,2968.096900731325,,0.45454545454545453,False,True,85.5,True,True,True,WRatio
deepgram,10_kadugondanahalli_traffic_hindi,Kadugondanahalli,traffic,hindi,"मेरा area का नाम कद्दू कौनतन अली है, KG हल्दी बोलते हैं लोग.",2836.3465992733836,,0.7272727272727273,True,False,62.5,True,True,True,partial_ratio
deepgram,11_jayanagar_phone_hinglish,Jayanagar,phone,hinglish,"Sir, मेरा नाम सानका है. जय नगर fourth block से बात कर रहे हो.",2928.515600040555,,0.6428571428571429,True,True,100.0,True,True,True,partial_ratio_nospace
deepgram,12_btmlayout_phone_hindi,BTM Layout,phone,hindi,बीटीएम लेआउट में flat देखना है. क्या आप free हैं?,2369.5338992401958,,0.6363636363636364,False,False,60.0,True,True,True,partial_ratio
deepgram,13_krpuram_phone_hinglish,KR Puram,phone,hinglish,"हाँ हाँ, care पुरम railway station के पास. वहाँ रुको.",2467.779799364507,,0.6,False,True,87.5,True,True,True,partial_ratio
deepgram,14_bellandur_phone_english,Bellandur,phone,english,I am currently in बेलेंदूर. Can the delivery come here by six?,2431.4705999568105,,0.25,False,False,66.66666666666667,True,True,True,partial_ratio
deepgram,15_hesaraghatta_phone_hindi,Hesaraghatta,phone,hindi,"Madam, मैं हैसारा गट्टा से हूँ गाँव की तरफ.",3481.5407004207373,,0.875,False,True,83.33333333333334,True,True,True,partial_ratio_nospace
deepgram,16_yelahanka_whisper_kannada,Yelahanka,whisper,kannada,नानू येलंका दिल्ली इद्देन ए airport हटते रहा.,3316.8695997446775,,1.4,False,False,66.66666666666667,False,True,True,partial_ratio
deepgram,17_banashankari_rushed_hinglish,Banashankari,rushed,hinglish,यार जल्दी बताओ बनाशांखरी से मैचिस्टिक कितना kilometer है?,4739.177699200809,,0.6666666666666666,False,False,75.0,False,True,True,partial_ratio
deepgram,18_majestic_whisper_hindi,Majestic,whisper,hindi,मैजिस्टिक बस के अंदर खड़ा हूं. मिल जाओगे?,2438.4535998106003,,0.8888888888888888,False,False,75.0,True,True,True,partial_ratio
deepgram,19_rajarajeshwarinagar_rushed_hindi,Rajarajeshwarinagar,rushed,hindi,राजा राजेश्वरी नगर में interview है. Address भेज रहा हूँ अभी.,2268.5031993314624,,0.6666666666666666,False,True,86.48648648648648,False,True,True,partial_ratio_nospace
deepgram,20_thalaghattapura_whisper_kannada,Thalaghattapura,whisper,kannada,थल्लगटपूरा side nice road के पास समझा.,2252.3413002490997,,0.42857142857142855,False,True,89.65517241379311,True,True,True,partial_ratio
elevenlabs,01_koramangala_quiet_hinglish,Koramangala,quiet,hinglish,"हां भैया, गौरमंगला में रहती हूं। फिफ्थ लॉक में।",1797.2618006169796,,0.8888888888888888,False,False,72.72727272727273,True,True,True,partial_ratio
elevenlabs,02_indiranagar_quiet_hindi,Indiranagar,quiet,hindi,"मेरा घर इंदिरानगर में है, मेट्रो स्टेशन के पास।",1296.3841008022428,,0.5555555555555556,False,True,90.9090909090909,False,True,True,partial_ratio
